image,image_path,breed,breed_en,confidence,model_ready,message,note
Bedlington Terrier.png,C:\Users\User\Downloads\Dog_Test\Bedlington Terrier.png,Chó Bedlington Terrier,Bedlington Terrier,0.960994,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,Ứng viên thuần chủng/chiếm ưu thế: Chó Bedlington Terrier.
Border Collie.jpg,C:\Users\User\Downloads\Dog_Test\Border Collie.jpg,Chó Border Collie,Border Collie,0.891689,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,Ứng viên thuần chủng/chiếm ưu thế: Chó Border Collie.
Bulldog Pháp.jpg,C:\Users\User\Downloads\Dog_Test\Bulldog Pháp.jpg,Bulldog Pháp,French Bulldog,0.964046,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,Ứng viên thuần chủng/chiếm ưu thế: Bulldog Pháp.
Bulldog Pháp.png,C:\Users\User\Downloads\Dog_Test\Bulldog Pháp.png,Bulldog Pháp,French Bulldog,0.980266,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,Ứng viên thuần chủng/chiếm ưu thế: Bulldog Pháp.
Béc-giê Bỉ Groenendael (2).png,C:\Users\User\Downloads\Dog_Test\Béc-giê Bỉ Groenendael (2).png,Béc-giê Bỉ Groenendael,Groenendael,0.967308,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,Ứng viên thuần chủng/chiếm ưu thế: Béc-giê Bỉ Groenendael.
Béc-giê Bỉ Groenendael.png,C:\Users\User\Downloads\Dog_Test\Béc-giê Bỉ Groenendael.png,Béc-giê Bỉ Groenendael,Groenendael,0.904454,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,Ứng viên thuần chủng/chiếm ưu thế: Béc-giê Bỉ Groenendael.
Béc-giê Bỉ Malinois.png,C:\Users\User\Downloads\Dog_Test\Béc-giê Bỉ Malinois.png,Béc-giê Bỉ Malinois,Malinois,0.941816,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,Ứng viên thuần chủng/chiếm ưu thế: Béc-giê Bỉ Malinois.
Béc-giê Đức.jpg,C:\Users\User\Downloads\Dog_Test\Béc-giê Đức.jpg,Béc-giê Đức,German Shepherd,0.995151,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,Ứng viên thuần chủng/chiếm ưu thế: Béc-giê Đức.
Béc-giê Đức.png,C:\Users\User\Downloads\Dog_Test\Béc-giê Đức.png,Béc-giê Đức,German Shepherd,0.998275,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,Ứng viên thuần chủng/chiếm ưu thế: Béc-giê Đức.
Bắc Kinh.png,C:\Users\User\Downloads\Dog_Test\Bắc Kinh.png,Bắc Kinh,Pekinese,0.976119,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,Ứng viên thuần chủng/chiếm ưu thế: Bắc Kinh.
