image,image_path,breed,breed_en,confidence,model_ready,message,note
Affenpinscher × Brabancon Griffon.png,C:\Users\User\Downloads\Mixed_Breed\Affenpinscher × Brabancon Griffon.png,Nghi lai: Chó Affenpinscher x Chó Brussels Griffon,Crossbreed: Affenpinscher x Brabancon Griffon,0.555150,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,
Airedale Terrier × Border Terrier.png,C:\Users\User\Downloads\Mixed_Breed\Airedale Terrier × Border Terrier.png,Nghi lai: Chó Airedale Terrier x Chó Border Terrier,Crossbreed: Airedale x Border Terrier,0.500901,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,
Beagle × Foxhound.png,C:\Users\User\Downloads\Mixed_Breed\Beagle × Foxhound.png,Nghi lai: Chó Beagle x Chó Foxhound Anh,Crossbreed: Beagle x English Foxhound,0.712856,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,
Bedlington Terrier × Kerry Blue Terrier.png,C:\Users\User\Downloads\Mixed_Breed\Bedlington Terrier × Kerry Blue Terrier.png,Nghi lai: Chó Bedlington Terrier x Chó Kerry Blue Terrier,Crossbreed: Bedlington Terrier x Kerry Blue Terrier,0.559945,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,
Bedlington Terrier × Sealyham Terrier.png,C:\Users\User\Downloads\Mixed_Breed\Bedlington Terrier × Sealyham Terrier.png,Nghi lai: Chó Lakeland Terrier x Chó Bedlington Terrier,Crossbreed: Lakeland Terrier x Bedlington Terrier,0.447286,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,Độ tin cậy CHÓ từ YOLO chỉ 13% (< 30%). Kết quả giống dưới đây chỉ mang tính tham khảo.
Border Collie × Australian Shepherd (2).png,C:\Users\User\Downloads\Mixed_Breed\Border Collie × Australian Shepherd (2).png,Shepherd Úc,Australian Shepherd,0.998147,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,Ứng viên thuần chủng/chiếm ưu thế: Shepherd Úc.
Border Collie × Australian Shepherd.png,C:\Users\User\Downloads\Mixed_Breed\Border Collie × Australian Shepherd.png,Nghi lai: Shepherd Úc x Chó Border Collie,Crossbreed: Australian Shepherd x Border Collie,0.907127,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,
Borzoi × Scottish Deerhound.png,C:\Users\User\Downloads\Mixed_Breed\Borzoi × Scottish Deerhound.png,Nghi lai: Chó Saluki x Chó Deerhound Scotland,Crossbreed: Saluki x Scottish Deerhound,0.512560,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,
Borzoi × Whippet.png,C:\Users\User\Downloads\Mixed_Breed\Borzoi × Whippet.png,Nghi lai: Shepherd Úc x Chó Borzoi,Crossbreed: Australian Shepherd x Borzoi,0.572394,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,
Boston Bull × French Bulldog.png,C:\Users\User\Downloads\Mixed_Breed\Boston Bull × French Bulldog.png,Nghi lai: Bulldog Pháp x Chó Boston Terrier,Crossbreed: French Bulldog x Boston Bull,0.726897,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,
Boxer × Bull Mastiff.png,C:\Users\User\Downloads\Mixed_Breed\Boxer × Bull Mastiff.png,Nghi lai: Chó Fila Brasileiro x Chó Phu Quoc,Crossbreed: Fila Brasileiro x Phu Quoc Dog,0.624881,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,
Boxer × Rhodesian Ridgeback.png,C:\Users\User\Downloads\Mixed_Breed\Boxer × Rhodesian Ridgeback.png,Nghi lai: Chó Fila Brasileiro x Chó Bullmastiff,Crossbreed: Fila Brasileiro x Bull Mastiff,0.598883,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,
Boxer × Rottweiler .png,C:\Users\User\Downloads\Mixed_Breed\Boxer × Rottweiler .png,Nghi lai: Chó Cane Corso x Chó Rottweiler,Crossbreed: Cane Corso x Rottweiler,0.611103,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,
